GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
todolist,com.qa.todolist.data.model,Content,0,92,0,14,0,33,0,17,0,10
todolist,com.qa.todolist.data.model,Todo,0,181,0,30,0,55,0,29,0,14
todolist,com.qa.todolist.data.model,Title,0,92,0,14,0,33,0,17,0,10
todolist,com.qa.todolist.data.model,Category,0,151,0,22,0,51,0,25,0,14
todolist,com.qa.todolist.exceptions,CategoryNotFoundException,4,3,0,0,2,2,1,1,1,1
todolist,com.qa.todolist.exceptions,CategoryAlreadyExistsException,4,3,0,0,2,2,1,1,1,1
todolist,com.qa.todolist.exceptions,TodoItemNotFoundException,4,3,0,0,2,2,1,1,1,1
todolist,com.qa.todolist.configuration,ApplicationConfiguration,0,7,0,0,0,2,0,2,0,2
todolist,com.qa.todolist.controller,TodoController,0,74,0,0,0,15,0,6,0,6
todolist,com.qa.todolist.controller,CategoryController,0,74,0,0,0,15,0,6,0,6
todolist,com.qa.todolist,ServletInitializer,12,0,0,0,2,0,2,0,2,0
todolist,com.qa.todolist,TodolistApplication,5,3,0,0,2,1,1,1,1,1
todolist,com.qa.todolist.mapper,CategoryMapper,0,20,0,0,0,5,0,3,0,3
todolist,com.qa.todolist.mapper,TitleMapper,0,20,0,0,0,5,0,3,0,3
todolist,com.qa.todolist.mapper,ContentMapper,0,20,0,0,0,5,0,3,0,3
todolist,com.qa.todolist.mapper,TodoMapper,0,20,0,0,0,5,0,3,0,3
todolist,com.qa.todolist.service,TodoService,1,125,1,7,0,25,1,10,0,7
todolist,com.qa.todolist.service,CategoryService,1,137,1,11,0,27,1,12,0,7
todolist,com.qa.todolist.dto,TodoDTO,0,199,0,28,0,62,0,30,0,16
todolist,com.qa.todolist.dto,ContentDTO,0,76,0,14,0,26,0,14,0,7
todolist,com.qa.todolist.dto,CategoryDTO,0,130,0,22,0,42,0,23,0,12
todolist,com.qa.todolist.dto,TitleDTO,0,76,0,14,0,26,0,14,0,7
